Old Name,New Name;
13-63519 Foto Klima EDV Raum,13-63519;
13-63872 Foto Filter,13-63872;
kd09-57865 W„rmepumpenfehler,09-57865;
KD11-60339 Waschtischarmatur,11-60339;
KDA 11-60816 Defekter Boiler,11-60816;
KDA 11-61024 Behinderten WC Bet則igung,11-61024;
KDA 12-61378 Wasseruhr,12-61378;
kda 13-62650 Heizk”rpersteuerung,13-62650;
kda 13-62689 Grohe Urinal - Sp�lung,13-62689;
kda 13-63589 Brandschaden,13-63589;
kda 14-64274 Druckschalter Zisternenpumpe,14-64274;
KDA 14-64554 Heizung,14-64554;
KDA 14-65155 Urinalsp�ler,14-65155;
KDA 15-66430 Baustromverteiler neu,15-66430;
KDA 15-66492 Geb„ude div. Elektr. Arbeiten,15-66492;
KDA 15-66506 Baustromverteiler Wochenmarkt,15-66506;
KDA 15-66696 Neue Beleuchtung,15-66696;
KDA 15-66736 Heizpaneel,15-66736;
KDA 16-66800 Sitzungssaal Schalter,16-66800;
KDA 16-67080 EDV Buchsen,16-67080;
KDA 16-67218 B�ro 1. OG,16-67218;
kda 16-67411 Kreiss„ge Bauhof,16-67411;
KDA 16-67413 Rauchmelder,16-67413;
KDA 16-67870 Jugendraum,16-67870;
kda 16-68247 Neue Beleuchtung Rathaus,16-68247;
kda 16-68251 FBH Ratiotherm Regler,16-68251;
kda 17-68445 Urinal,17-68445;
kda 17-68720 Stromtankstelle,17-68720;
kda 17-68786 Baustromverteiler Wochenmarkt,17-68786;
KDA 17-69291 1. OG WC Herren L�fter,17-69291;
kda 17-69638 W„rmepumpenfehler,17-69638;
kda 18-69787 R�cksp�lfilter,18-69787;
KDA 18-70090 Fuįg„ngersteg Bahnhof,18-70090;
KDA 18-70458 Keuco Spiegelschrank - HSK Dichtleiste,18-70458;
KDA 18-70763 Rathaus R�cksp�lfilter,18-70763;
kda 18-70899 Dimmer Pendelleuchte K�che,18-70899;
kda 18-70910 Z„hlerplatz Rathaus Heimenkirch,18-70910;
kda 18-70976 Defekte Lampe Raum 106,18-70976;
KDA 18-71013 Treppenhaus Kernbohrung,18-71013;
13-00930_1 BHKW Kesseltausch,13-00930;
14-01050 Brgerbro Beleuchtung,14-01050;
15-01090 Heizungssanierung,15-01090;
18-01339 Austausch W„rmepumpe,18-01339;
Old Name,New Name;
Old Name,New Name;
13-63519 Foto Klima EDV Raum,13-63519;
13-63872 Foto Filter,13-63872;
kd09-57865 W„rmepumpenfehler,09-57865;
KD11-60339 Waschtischarmatur,11-60339;
KDA 11-60816 Defekter Boiler,11-60816;
KDA 11-61024 Behinderten WC Bet則igung,11-61024;
KDA 12-61378 Wasseruhr,12-61378;
kda 13-62650 Heizk”rpersteuerung,13-62650;
kda 13-62689 Grohe Urinal - Sp�lung,13-62689;
kda 13-63589 Brandschaden,13-63589;
kda 14-64274 Druckschalter Zisternenpumpe,14-64274;
KDA 14-64554 Heizung,14-64554;
KDA 14-65155 Urinalsp�ler,14-65155;
KDA 15-66430 Baustromverteiler neu,15-66430;
KDA 15-66492 Geb„ude div. Elektr. Arbeiten,15-66492;
KDA 15-66506 Baustromverteiler Wochenmarkt,15-66506;
KDA 15-66696 Neue Beleuchtung,15-66696;
KDA 15-66736 Heizpaneel,15-66736;
KDA 16-66800 Sitzungssaal Schalter,16-66800;
KDA 16-67080 EDV Buchsen,16-67080;
KDA 16-67218 B�ro 1. OG,16-67218;
kda 16-67411 Kreiss„ge Bauhof,16-67411;
KDA 16-67413 Rauchmelder,16-67413;
KDA 16-67870 Jugendraum,16-67870;
kda 16-68247 Neue Beleuchtung Rathaus,16-68247;
kda 16-68251 FBH Ratiotherm Regler,16-68251;
kda 17-68445 Urinal,17-68445;
kda 17-68720 Stromtankstelle,17-68720;
kda 17-68786 Baustromverteiler Wochenmarkt,17-68786;
KDA 17-69291 1. OG WC Herren L�fter,17-69291;
kda 17-69638 W„rmepumpenfehler,17-69638;
kda 18-69787 R�cksp�lfilter,18-69787;
KDA 18-70090 Fuįg„ngersteg Bahnhof,18-70090;
KDA 18-70458 Keuco Spiegelschrank - HSK Dichtleiste,18-70458;
KDA 18-70763 Rathaus R�cksp�lfilter,18-70763;
kda 18-70899 Dimmer Pendelleuchte K�che,18-70899;
kda 18-70910 Z„hlerplatz Rathaus Heimenkirch,18-70910;
kda 18-70976 Defekte Lampe Raum 106,18-70976;
KDA 18-71013 Treppenhaus Kernbohrung,18-71013;
13-00930_1 BHKW Kesseltausch,13-00930;
14-01050 Brgerbro Beleuchtung,14-01050;
15-01090 Heizungssanierung,15-01090;
18-01339 Austausch W„rmepumpe,18-01339;
